user,prob
TestA_00000,0.04518593064311287
TestA_00001,0.29675282808120323
TestA_00002,0.10885250342616921
TestA_00003,0.2967027774984444
TestA_00004,0.33883192631393444
TestA_00005,0.21265955344135865
TestA_00006,0.3819485709727188
TestA_00007,0.30654009467654747
TestA_00008,0.17267194165141503
TestA_00009,0.1926059399284882
TestA_00010,0.12969855209509365
TestA_00011,0.45304981634966507
TestA_00012,0.22811934841960377
TestA_00013,0.300683340218909
TestA_00014,0.23661819669865417
TestA_00015,0.22907195575196057
TestA_00016,0.45225809082332136
TestA_00017,0.27130937517664616
TestA_00018,0.5219617751531714
TestA_00019,0.23471588197661092
TestA_00020,0.35182374632053826
TestA_00021,0.1300979991028043
TestA_00022,0.2326094902510875
TestA_00023,0.24869329621434136
TestA_00024,0.24853055827562076
TestA_00025,0.456377909920833
TestA_00026,0.35880409806916996
TestA_00027,0.45783643530844254
TestA_00028,0.4864738761434163
TestA_00029,0.16092566358300228
TestA_00030,0.1689237784600434
TestA_00031,0.3054080929057772
TestA_00032,0.3766372511655373
TestA_00033,0.3010301409560056
TestA_00034,0.23434138653347164
TestA_00035,0.24320432453036955
TestA_00036,0.1826039998720378
TestA_00037,0.20782879272832974
TestA_00038,0.19339659846587898
TestA_00039,0.3394333514297089
TestA_00040,0.3130497413888526
TestA_00041,0.40406330857237216
TestA_00042,0.2337516418132874
TestA_00043,0.26992426760849747
TestA_00044,0.3595741512061726
TestA_00045,0.40489707427743676
TestA_00046,0.1703847341957395
TestA_00047,0.37047300037311054
TestA_00048,0.4384302126686874
TestA_00049,0.0848279208888679
TestA_00050,0.07960110834678952
TestA_00051,0.46191240623582286
TestA_00052,0.19958247596641215
TestA_00053,0.04359535455921073
TestA_00054,0.39593482227117643
TestA_00055,0.47520400976535215
TestA_00056,0.16935260555426937
TestA_00057,0.3588499104609161
TestA_00058,0.3221828605433411
TestA_00059,0.24763035611815373
TestA_00060,0.3650866499933123
TestA_00061,0.2532326332500262
TestA_00062,0.2507784652505786
TestA_00063,0.22573284288353748
TestA_00064,0.24551479053882277
TestA_00065,0.28272545368492763
TestA_00066,0.2133980491792489
TestA_00067,0.037420009761922175
TestA_00068,0.00413810923664862
TestA_00069,0.171729847227781
TestA_00070,0.17727672258225033
TestA_00071,0.2015406881412343
TestA_00072,0.13664936335644443
TestA_00073,0.26111185705730783
TestA_00074,0.3308008201697635
TestA_00075,0.24257391354240976
TestA_00076,0.35054412781821886
TestA_00077,0.30880633972086213
TestA_00078,0.287570401157032
TestA_00079,0.23444005160257955
TestA_00080,0.3069587178774008
TestA_00081,0.1259015099043551
TestA_00082,0.2661259791102455
TestA_00083,0.19042570050353866
TestA_00084,0.2021557450888794
TestA_00085,0.29001161613037335
TestA_00086,0.20394573087700577
TestA_00087,0.270123733177474
TestA_00088,0.08757230530742621
TestA_00089,0.3548826927772525
TestA_00090,0.31967397398657943
TestA_00091,0.18775963671021348
